3255,"ADASTAR",13203,"ANCORAGGIO IN RADA",16,"2018-01-01 18:10"
3255,"ADASTAR",13203,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 17:45"
3255,"ADASTAR",13203,"DA RADA A ORMEGGIO",20,"2018-01-02 13:10"
3255,"ADASTAR",13203,"DISORMEGGIO PER PARTENZA",23,"2018-01-05 06:45"
3255,"ADASTAR",13203,"NAVE FUORI VISTA",26,"2018-01-05 07:50"
3256,"ODOARDO AMORETTI",13945,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 05:12"
3256,"ODOARDO AMORETTI",13945,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 17:18"
3256,"ODOARDO AMORETTI",13945,"NAVE FUORI VISTA",26,"2018-01-02 18:36"
3256,"ODOARDO AMORETTI",13945,"NAVE IN ENTRATA",14,"2018-01-02 08:20"
3256,"ODOARDO AMORETTI",13945,"ORMEGGIO NAVE",17,"2018-01-02 09:48"
3257,"MEHMET A",13920,"DA RADA A ORMEGGIO",20,"2018-01-01 00:01"
3257,"MEHMET A",13920,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 10:00"
3257,"MEHMET A",13920,"NAVE FUORI VISTA",26,"2018-01-02 10:10"
3260,"SYN ZAURA",8880,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 05:30"
3260,"SYN ZAURA",8880,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 09:42"
3260,"SYN ZAURA",8880,"NAVE FUORI VISTA",26,"2018-01-02 10:05"
3260,"SYN ZAURA",8880,"NAVE IN ENTRATA",14,"2018-01-01 06:45"
3260,"SYN ZAURA",8880,"ORMEGGIO NAVE",17,"2018-01-01 08:00"
3261,"JOSCO JINZHOU",13921,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 02:05"
3261,"JOSCO JINZHOU",13921,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 18:50"
3261,"JOSCO JINZHOU",13921,"NAVE FUORI VISTA",26,"2018-01-04 19:35"
3261,"JOSCO JINZHOU",13921,"NAVE IN ENTRATA",14,"2018-01-01 08:00"
3261,"JOSCO JINZHOU",13921,"ORMEGGIO NAVE",17,"2018-01-01 08:45"
3261,"JOSCO JINZHOU",13921,"ORMEGGIO NAVE",17,"2018-01-01 09:00"
3262,"SULTAN BEY",13951,"ANCORAGGIO IN RADA",16,"2018-01-03 03:15"
3262,"SULTAN BEY",13951,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-03 03:15"
3262,"SULTAN BEY",13951,"DA RADA A ORMEGGIO",20,"2018-01-04 12:25"
3262,"SULTAN BEY",13951,"DISORMEGGIO PER PARTENZA",23,"2018-01-05 14:15"
3262,"SULTAN BEY",13951,"NAVE FUORI VISTA",26,"2018-01-05 15:15"
3263,"CORONA AUSTRALE",13151,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 08:00"
3263,"CORONA AUSTRALE",13151,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 00:25"
3263,"CORONA AUSTRALE",13151,"NAVE FUORI VISTA",26,"2018-01-04 01:00"
3263,"CORONA AUSTRALE",13151,"NAVE IN ENTRATA",14,"2018-01-02 09:30"
3263,"CORONA AUSTRALE",13151,"ORMEGGIO NAVE",17,"2018-01-02 10:42"
3264,"SIRIO I",13201,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 08:00"
3264,"SIRIO I",13201,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 00:25"
3264,"SIRIO I",13201,"NAVE FUORI VISTA",26,"2018-01-04 01:00"
3264,"SIRIO I",13201,"NAVE IN ENTRATA",14,"2018-01-02 09:30"
3264,"SIRIO I",13201,"ORMEGGIO NAVE",17,"2018-01-02 10:42"
3265,"EPSILON",13952,"ANCORAGGIO IN RADA",16,"2018-01-02 00:28"
3265,"EPSILON",13952,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 00:20"
3265,"EPSILON",13952,"DA RADA A ORMEGGIO",20,"2018-01-11 01:30"
3265,"EPSILON",13952,"DISORMEGGIO PER PARTENZA",23,"2018-01-14 16:40"
3265,"EPSILON",13952,"NAVE FUORI VISTA",26,"2018-01-14 17:15"
3266,"WILSON AVILES",13953,"ANCORAGGIO IN RADA",16,"2018-01-04 08:40"
3266,"WILSON AVILES",13953,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 08:40"
3266,"WILSON AVILES",13953,"DA RADA A ORMEGGIO",20,"2018-01-05 08:15"
3266,"WILSON AVILES",13953,"DISORMEGGIO PER PARTENZA",23,"2018-01-15 17:15"
3266,"WILSON AVILES",13953,"NAVE FUORI VISTA",26,"2018-01-15 18:00"
3266,"WILSON AVILES",13953,"ORMEGGIO NAVE",17,"2018-01-05 09:15"
3266,"WILSON AVILES",13953,"TONNEGGIO",21,"2018-01-09 19:20"
3267,"GABDULLA TUKAY",13954,"ANCORAGGIO IN RADA",16,"2018-01-02 23:00"
3267,"GABDULLA TUKAY",13954,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 23:00"
3267,"GABDULLA TUKAY",13954,"DA RADA A ORMEGGIO",20,"2018-01-03 09:35"
3267,"GABDULLA TUKAY",13954,"DISORMEGGIO PER PARTENZA",23,"2018-01-05 03:30"
3267,"GABDULLA TUKAY",13954,"NAVE FUORI VISTA",26,"2018-01-05 04:00"
3268,"BF CATANIA",13054,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 17:30"
3268,"BF CATANIA",13054,"DISORMEGGIO PER PARTENZA",23,"2018-01-03 04:48"
3268,"BF CATANIA",13054,"NAVE FUORI VISTA",26,"2018-01-03 06:00"
3268,"BF CATANIA",13054,"NAVE IN ENTRATA",14,"2018-01-02 17:55"
3268,"BF CATANIA",13054,"ORMEGGIO NAVE",17,"2018-01-02 18:36"
3269,"OSOGOVO",13955,"ANCORAGGIO IN RADA",16,"2018-01-02 20:00"
3269,"OSOGOVO",13955,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 20:00"
3269,"OSOGOVO",13955,"DA RADA A ORMEGGIO",20,"2018-01-05 09:35"
3269,"OSOGOVO",13955,"DISORMEGGIO PER PARTENZA",23,"2018-01-08 21:15"
3269,"OSOGOVO",13955,"NAVE FUORI VISTA",26,"2018-01-08 21:51"
3275,"IEVOLI AMBER",13577,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 06:55"
3275,"IEVOLI AMBER",13577,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-02 12:00"
3275,"IEVOLI AMBER",13577,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 16:35"
3275,"IEVOLI AMBER",13577,"NAVE FUORI VISTA",26,"2018-01-02 17:15"
3275,"IEVOLI AMBER",13577,"NAVE IN ENTRATA",14,"2018-01-02 07:00"
3275,"IEVOLI AMBER",13577,"ORMEGGIO NAVE",17,"2018-01-02 07:40"
3276,"BRODOSPAS ALFA",11465,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-03 06:42"
3276,"BRODOSPAS ALFA",11465,"DISORMEGGIO PER PARTENZA",23,"2018-01-03 18:30"
3276,"BRODOSPAS ALFA",11465,"NAVE FUORI VISTA",26,"2018-01-03 19:00"
3276,"BRODOSPAS ALFA",11465,"NAVE IN ENTRATA",14,"2018-01-03 06:45"
3276,"BRODOSPAS ALFA",11465,"ORMEGGIO NAVE",17,"2018-01-03 07:20"
3295,"MSC LEA",13030,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-03 05:42"
3295,"MSC LEA",13030,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 13:36"
3295,"MSC LEA",13030,"NAVE FUORI VISTA",26,"2018-01-04 14:35"
3295,"MSC LEA",13030,"NAVE IN ENTRATA",14,"2018-01-03 07:10"
3295,"MSC LEA",13030,"ORMEGGIO NAVE",17,"2018-01-03 08:30"
3296,"RAFAELO-I",13048,"ANCORAGGIO IN RADA",16,"2018-01-04 01:00"
3296,"RAFAELO-I",13048,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 01:00"
3296,"RAFAELO-I",13048,"DA RADA A ORMEGGIO",20,"2018-01-04 06:45"
3296,"RAFAELO-I",13048,"DISORMEGGIO PER PARTENZA",23,"2018-01-08 08:50"
3296,"RAFAELO-I",13048,"NAVE FUORI VISTA",26,"2018-01-08 09:40"
